	b1	b2	b3	c1	c2	c3	b_mean	b_std	c_mean	c_std	fold_change	log2_fold_change	abs_log2_fold_change	p_value	fwer	FWER
1769308_at	6.69886215934826	6.79559253979714	6.70800306655984	10.9458776869138	11.1455060343751	11.0707252887716	6.73415258856841	0.0534044918654218	11.0540363366868	0.100855144235671	0.60920304434125	-0.715004943533186	0.715004943533186	3.24207223657539e-07	0.00354293654012959	0.00354293654012959
1769309_at	3.04716851575709	3.17740803983918	3.12894995537524	2.49830834229269	2.16432945959427	2.44418847894261	3.11784217032384	0.0658264428238643	2.36894209360986	0.179253974576172	1.3161327069725	0.396304964786266	0.396304964786266	0.00245294380003042	1	1
1769310_at	2.07900693485305	1.42719999067723	1.8156977248348	1.46207537041049	1.48830007874383	1.62303630758998	1.77396821678836	0.327901032325767	1.52447058558143	0.0863616523585078	1.16366182041602	0.218671847854122	0.218671847854122	0.27151021092923	1	1
1769311_at	9.27670971179903	9.46182069508223	9.23461767303059	8.97223320966732	9.00613838230067	9.00499688640042	9.32438269330395	0.120871163564872	8.99445615945614	0.0192541002440972	1.03668109866776	0.0519721640380714	0.0519721640380714	0.00952617592883037	1	1
1769312_at	6.90018668606141	6.89589516620833	6.95546294237695	6.85145375064933	6.94571520856451	6.89285354827738	6.91718159821556	0.0332219847204261	6.89667416916374	0.0472467297285407	1.00297352441899	0.00428352350387406	0.00428352350387406	0.571829814773006	1	1
1769313_at	6.56412309047583	6.60013093986333	6.53441264876916	7.77024503327809	7.81519169303838	7.85177692384053	6.56622222636944	0.0329093941711084	7.81240455005233	0.0408373409906904	0.840486713700132	-0.250703081173016	0.250703081173016	2.08337089862898e-06	0.0227670771802175	0.0227670771802175
1769314_at	8.80755875922876	8.78837201523564	8.98225957595422	8.57272659379309	8.6580981215362	8.6570395293548	8.85939678347287	0.106833899669067	8.62928808156136	0.0489865448697098	1.02666601227547	0.0379669306335362	0.0379669306335362	0.0275007843557105	1	1
1769315_at	1.53950619676807	1.45143141986623	1.63930308267123	1.35282720240619	1.39561441909922	1.33729707481642	1.54341356643518	0.0939967609791181	1.36191289877394	0.0302016650189177	1.13326892477825	0.180490253397525	0.180490253397525	0.0334028578900384	1	1
1769316_s_at	1.74658536775967	1.91845677638597	1.62846987737765	1.72416719792171	1.9052378959527	1.51881485840963	1.76450400717443	0.145821495767848	1.71607331742801	0.193338625634114	1.0282218068742	0.0401515146874026	0.0401515146874026	0.746500535179489	1	1
1769317_at	7.22536104849244	7.41888985330458	7.25810338933446	7.07183960987847	6.96135554816049	6.8711572674108	7.30078476371049	0.103583900109883	6.96811747514992	0.100511906692867	1.04774134330355	0.0672826016168145	0.0672826016168145	0.0162363701966475	1	1
1769318_at	1.3612255820118	1.25547500026405	1.3033297639716	1.47097274772506	1.72910069335975	1.72730701187569	1.30667678208248	0.0529546814046958	1.64246015098683	0.148515155561364	0.795560721091101	-0.329956046576399	0.329956046576399	0.0210446421204478	1	1
1769319_at	9.08398939364668	9.17451444882863	9.16060848203334	9.41319469486721	9.36223810604203	9.30538666787164	9.13970410816955	0.0487487542292267	9.36027315626029	0.0539308672459741	0.976435618447393	-0.0344031721360072	0.0344031721360072	0.00627524456239999	1	1
1769320_at	5.44374102508058	5.5837122911107	5.54357333844238	5.66637665024637	5.74309117068521	5.88280173619449	5.52367555154455	0.0720758646919494	5.76408985237536	0.109729954576933	0.95829102130812	-0.0614642434779529	0.0614642434779529	0.0337989894160393	1	1
1769321_at	1.84560899236533	1.93689907281496	1.79842059309047	1.81872079517885	1.68759628652042	1.46653563286968	1.86030955275692	0.0703999445565946	1.65761757152298	0.17799617875774	1.1222790978547	0.166431502166997	0.166431502166997	0.140554678524959	1	1
1769322_s_at	6.5031813162485	6.89383311624389	6.69222124898329	5.42055229295726	5.53585072920451	5.39773931110445	6.69641189382523	0.195359612863183	5.45138077775541	0.0740370688143075	1.22838821334041	0.296766574511318	0.296766574511318	0.000497045955139425	1	1
1769323_at	7.37765728156717	7.47018588436415	7.55261200559105	7.59488646609855	7.57970477768954	7.53939908576021	7.46681839050746	0.0875259611528157	7.57133010984943	0.0286760115824537	0.986196385862767	-0.0200531291172997	0.0200531291172997	0.120806288755139	1	1
